mktime,co2,temp,humidity

 sensirion,sensor_id=310BA co2=1694.880371,temp=27.432671,humidity=57.409668 946684801
 sensirion,sensor_id=310BA co2=1686.911133,temp=27.419319,humidity=56.201172 946684806
 sensirion,sensor_id=310BA co2=1689.017090,temp=27.491417,humidity=55.963135 946684812
 sensirion,sensor_id=310BA co2=1670.051758,temp=27.518120,humidity=55.355835 946684817
 sensirion,sensor_id=310BA co2=1671.604004,temp=27.504768,humidity=54.678345 946684822
 sensirion,sensor_id=310BA co2=1689.755859,temp=27.531471,humidity=55.189514 946684827
 sensirion,sensor_id=310BA co2=1699.348145,temp=27.475395,humidity=55.056763 946684832
 sensirion,sensor_id=310BA co2=1702.220703,temp=27.518120,humidity=54.759216 946684837
 1698190164, 707.250244, 26.853210, 43.008423
 1698190185, 706.556396, 26.866562, 42.839050
 1698190205, 704.525635, 26.823837, 42.872620
 1698190226, 703.449951, 26.837189, 42.794800
 1698190246, 704.064697, 26.797134, 42.776489
 1698190266, 703.481445, 26.853210, 42.678833
 1698190287, 701.761719, 26.853210, 42.573547
 1698190308, 700.785400, 26.767761, 42.706299
 1698190328, 699.155273, 26.767761, 42.669678
 1698190349, 695.893311, 26.797134, 42.552185
 1698190369, 699.650635, 26.810486, 42.410278
 1698190390, 703.970215, 26.767761, 42.602539
 1698190410, 697.484863, 26.823837, 42.291260
 1698190431, 702.278564, 26.837189, 42.282104
 1698190451, 701.907715, 26.823837, 42.280579
 1698190472, 701.341797, 26.837189, 42.216492
 1698190492, 701.123779, 26.879913, 42.048645
 1698190513, 701.142822, 26.837189, 42.005920
 1698190533, 701.864746, 26.797134, 42.065430
 1698190554, 699.348389, 26.823837, 42.016602
 1698190574, 699.439941, 26.823837, 42.016602
 1698190595, 699.810059, 26.711678, 42.359924
 1698190615, 698.118164, 26.738380, 42.492676
 1698190636, 698.052002, 26.738380, 42.665100
 1698190656, 699.768799, 26.682304, 42.868042
 1698190677, 695.595703, 26.711678, 42.977905
 1698190697, 695.858643, 26.682304, 43.173218
 1698190718, 693.535645, 26.738380, 43.243408
 1698190738, 694.028076, 26.767761, 43.247986
 1698190759, 692.500977, 26.725029, 43.440247
 946684801, 621.419678, 26.468681, 57.452393
 1698245886, 672.994873, 26.524757, 55.200195
 1698245907, 667.601318, 26.498055, 54.782104
 1698245927, 666.177734, 26.498055, 55.209351
 1698245948, 669.616455, 26.412605, 55.780029
 1698245969, 665.981934, 26.412605, 56.082153
 1698245989, 661.306396, 26.425957, 56.365967
 1698246010, 662.024658, 26.383232, 56.820679
 1698246031, 660.379883, 26.455330, 56.988525
 1698246051, 660.886963, 26.383232, 57.246399
 1698246072, 661.397705, 26.441978, 57.369995
 1698246093, 659.596680, 26.412605, 57.308960
 1698246114, 664.251465, 26.455330, 56.887817
 1698246134, 658.295898, 26.511406, 56.481934
 1698246155, 659.831299, 26.455330, 56.315613
 1698246175, 659.380615, 26.498055, 55.836487
 1698246196, 660.219727, 26.538109, 55.337524
 1698246216, 664.610596, 26.468681, 55.067444
